text|label
'Друзья, мы продолжаем оформлять Fan ID на стадионе   Обратите внимание, что в день матча #КраснодарФакел будет работать один пункт выдачи на  входе стадиона  Оформить персонифицированную карту «под ключ» на месте (или подтвердить заявление, оформленное ранее на портале «Госуслуги») сможет любой желающий, при наличии паспорта (свидетельства о рождении для детей до 14 лет).  График работы:   30 марта, с 9:00 до 16:00  До встречи на матче '|0
'Завтра играем с «Факелом», а сегодня раздаём превью к этой встрече   #КраснодарФакел #МыБыки'|0
'От юного фаната до первой совместной тренировки с кумиром   Преемственность поколений '|0
'Вы отдыхаете, мы работаем! Суббота – такая суббота   Сюжет с трени вот вам подвезли. Берёте?   Rutube  YouTube  VK Видео  #КраснодарФакел #МыБыки'|0
'Подготовка молодого резерва от более старшего '|0
'Готовимся к матчу на лучшем газоне лучшего стадиона '|0
'Есть у нас такая традиция – раз в год КубГАУ посещать   В этот раз со студентами аграрного вуза встретились голкиперы основной и женской команд клуба – Станислав Агкацев и Наталья Силина  Стас и Наташа ответили на вопросы студентов, разыграли клубное джерси, подписали сотни автографов и пригласили на ближайшие матчи своих команд   А еще обменялись улыбками и положительными эмоциями! Теплая получилась встреча '|0
'Уууухххх, как же исхитрился пробить Саня  Настоящий '|0
'ЭТОООО МОООООЗЗЗИИИИ! Как же попааааал  Загляденье  #РостовКраснодар – 0:1'|0
'Ничья  #КраснодарКрылья – 1:1'|0
'Терпим обидное поражение и покидаем этот розыгрыш FONBET Кубка России  #КраснодарАхмат'|0
'Праздник, который мы сделали с вами вместе '|0
'Рабочие будни команды на тренировке — нацеленность на матч с «Енисеем».    ФК «Сочи»'|0
'MATCHDAY: «Футбольный урок»! Зовём всех на футбольную перемену с крутым развлекательным контентом   Что вас ждёт:  Футбольный квиз — проверь, насколько хорошо ты знаешь футбол.  Тотальный диктант.  Зарядка от профи + разминка.  Крутые футбольные челленджи.  Фотосессия с Ученым Барсиком.   СПЕЦАКЦИЯ ДЛЯ ШКОЛЬНИКОВ: Покажи пятёрку по литературе в электронном дневнике — получи приз!   Билеты на матч    ФК «Сочи»'|0
'Купи атрибутику «Сочи» в день матча — и забери приз от клуба! Почему бы и да?  Как поучаствовать:  Соверши покупку в любой точке с мерчем на «Фиште» — хоть шарф, хоть вымпел, хоть тапочки (если будут);  Получи карточку с номером и узнаешь, где ждать удачу.  Победителя определим в перерыве — генератор случайных чисел всё решит.  Ищи зону ведущих и держи кулачки!    ФК «Сочи»'|0
'Вы не просили, но админ настаивает. Ловите обои для своих мобилок    ФК «Сочи»'|0
'31 марта  19:00    ФК «Сочи»"'|0
'ДОЖДАЛИСЬ! БЕСПЛАТНЫЙ ПРОЕЗД НА ФУТБОЛ!   БЕТСИТИ ЭКСПРЕСС — теперь на матч можно добраться бесплатно на электричке до Имеретинского курорта.  Что нужно: – Купи билет на матч: store.pfcsochi.ru/tickets  – Скачай и зарегистрируйся в приложении БЕТСИТИ (18+) – Приходи на вокзал (Сочи, Хоста, Адлер, Роза Хутор) не раньше, чем за 4 часа до игры  – Покажи промоутеру в синем костюме свой номер заказа билета и ID в приложении   Больше никаких оправданий — все на стадион!   Подробнее: https://pfcsochi.ru/news/2024-2025/betsiti-ekspress/ '|0
'Кажется, студия SochiMotion выпустила свой первый сезон. Узнаёте, кто скрывается за аниме-образами?   ФК «Сочи»'|0
'Сегодня «Сочи-2» проводит первый домашний матч в истории!   Соперник – «Победа» из Хасавюрта!   Ждем всех болельщиков в 17:00 на игре!   ФК «Сочи»'|0
'Мы продолжаем наше путешествие по школам Сочи с акцией «Урок футбола»  Сегодня у четвероклассников СОШ №13 вместо привычного урока окружающего мира прошёл необычный «Матч в объективе»! Ребята узнали, как в футбольном клубе работает специалист по маркетинговому направлению SMM — как продвигаются мероприятия, взаимодействуют с партнёрами и строится коммуникация с болельщиками. А ещё встретились с Барсиком!  Каждому — подарки, классные фото с талисманом и билеты на футбол  Ставь лайк, если хочешь, чтобы в следующий раз мы пришли и в твою школу.   ФК «Сочи»'|0
'В апреле нас ждёт только один домашний матч и билеты на него уже поступили в продажу   Встречаемся на «Фиште» 20 апреля с «Аланией»!    20 апреля  17:00  «Фишт»  Билеты: store.pfcsochi.ru/tickets   ФК «Сочи»'|0
'Большой футбольный день сегодня начнет наша молодежная команда   В 13:00 включаем трансляцию и болеем за парней в выездном матче в Екатеринбурге!  https://t.me/academy_pfcsochi/11196'|0
'Кирилл Суслов под чутким присмотром Диого оттачивает форму на песке — индивидуальная тренировка в самом разгаре.    ФК «Сочи»'|0
'Приглашаем всех болельщиков принять участие в тотальном диктанте в университете Сириус  https://t.me/siriuslyceum/5597'|0
'Павел Мелешин  #СочиШинник  "'|0
'Принимаем гостей из Саратова! Первый официальный матч в 2025-м и сразу важное испытание. ...'|0
'Счастливы вместе. Наша версия.  #БитваСтихий  "'|0
'«Урал»  16:00  «Фишт»  13°С Прямая трансляция:  Сайт Матч ТВ  VK Видео  Кинопоиск'|0
'«Шинник»  14:00  «Фишт»  11°С Прямая трансляция:  Сайт Матч ТВ VK Видео Кинопоис...'|0
'Локо-2010» завоевал серебряные медали международного турнира «Кубок Победы – Единая лига ВТБ».  Поздравляю игроков и тренеров с хорошим результатом. Финал получился очень увлекательным, наша команда достойно сражалась с сильным соперником – СШОР ЦСКА – и уступила только в самой концовке, 68:71.  Надеюсь, этот опыт поможет парням в будущем, и следующий финал уже останется за «Локо-2010».'|0
'«Локо-2010» — серебряные призёры международного турнира «Кубок Победы — Единая Лига ВТБ»  Сегодня в столице прошёл финальный матч соревнований. В самой его концовке подопечные Владислава Павленко в упорнейшей борьбе уступили московской СШОР ЦСКА — 68:71.  Парни, вы бились, и мы гордимся вами! Дальше — больше!'|0
'Центровой «Локомотива-Кубань» Андрей Мартюк поделился эмоциями после матча против «Автодора»: Поздравляю всю Локосемью с победой и благодарю за поддержку! Это был сложный матч — настрой «Автодора» чувствовался с первых секунд. Спасибо нашему главному тренеру за то, что вовремя встряхнул нас эмоционально, а Роману Евгеньевичу — за то, что довёл до победы.  Во второй половине мы добавили агрессии, начали бежать и больше двигать мяч. Это дало нам преимущество, за счёт которого мы и выиграли.  Сейчас мы возвращаемся в родной «Баскет-Холл», где нас ждёт четыре домашних матча. Будем стараться порадовать болельщиков победами в заключительных играх регулярки.'|0
'Сегодня в матче против «Автодора» защитник «Локо» Владислав Емченко достиг отметки в 1000 очков в Единой Лиге ВТБ.  Перед началом встречи в авктиве Влада значилось 998 очков. Преодолеть отметку получилось сразу — в своей первой атаке Влад прошёл под кольцо, записав 1000-е очко на свой счёт.  Поздравляем! '|0
'Первый помощник главного тренера «Локо» Роман Семернинов подвёл итоги матча против «Автодора»: Рады победить. Главный тренер пожертвовал собой, был удалён — и это нас завело: мы поменяли настрой и заиграли командно. Появилось движение мяча, результативные передачи, но прежде всего — агрессия в защите. Это именно то, что мы требуем от ребят постоянно.'|0
'Защитник «Локомотива-Кубань» Антониус Кливленд о победе над «Автодором»: Тяжёлый матч. «Автодор» играл достаточно жёстко, ведь они борются за попадание в плей-офф. Тренер сказал, что мы должны быть ещё более агрессивными, чем соперник. На вторую половину мы вышли с большим огнем внутри, думаю, это было видно. Сделали несколько хороших рывков, которые позволили нам оторваться в счёте и остановить «Автодор» .'|0
'Лидеры «Локо» по индивидуальной статистике:  Патрик Миллер: 17 очков + 9 передач + 2 подбора + 1 перехват КПИ — 23  Айзея Уэйли: 15 очков (5/6 с игры) + 7 подборов + 2 блокшота КПИ — 24  Антониус Кливленд: 14 очков (7/13 с игры) + 8 подборов + 5 передач + 2 перехвата КПИ — 18  Владислав Емченко: 12 очков (4/6 с игры) + 3 подбора + 2 передачи + 1 перехват КПИ — 18  Андрей Мартюк: 11 очков (5/8 с игры) + 4 подбора + 1 передача + 1 блокшот КПИ — 13'|0
'Показали характер и победили в Саратове!   Команда возвращается в Краснодар на длинную серию домашних матчей. Первая игра стартует уже в среду, скорее выбирайте лучшие места на арене!    КУПИТЬ БИЛЕТЫ '|0
'Патрик прошёл под кольцо '|0
'Автодор»  «Локомотив-Кубань» 53:59 — счёт после третьей четверти'|0
'Айзейя с передачи Патрика '|0
'Автодор»  «Локомотив-Кубань» 22:20 — счёт после первой четверти'|0
'В Краснодаре обещают жаркий апрель, и мы не о погоде — нас ждёт 4 заключительных матча регулярки...'|0
'Андрей Ведищев в лонг-листе независимого рейтинга издания СБК «топ-100 профессионалов спортивно...'|0
'Лидеры «Локо» по индивидуальной статистике: Таджер Макколл: 21 очко (6/12 с игры) + 4 подбора ...'|0
'Кто Лучший Игрок в матче с ЦСКА? Антониус Кливленд Патрик Миллер Кирилл Темиров Андрей Мартюк Айз...'|0
'На выходных самое время пройти не слишком серьёзный тест-мем от КХЛ, посвящённый всем командам Западной конференции. Потом напишите, сколько вопросов смогли взять  khl.ru/news/2025/03/24/544153.html'|0
'Друзья! Хоккейный сезон для команды завершён, но мы не хотим надолго расставаться. И сейчас мы запускаем грандиозный аукцион Mystery Box для наших любимых участников Программы лояльности «Сочи клаб»  Что внутри? А это большой секрет! Мы можем рассказать только одно — внутри каждого Mystery Box находятся эксклюзивные подарки, связанные с нашими «леопардами». Никто, совсем никто, не знает точно, что окажется в вашей коробке. Но мы гарантируем — это будет что-то особенное!  Не упустите шанс стать обладателем уникального юбилейного Mystery Box!  Стартовая цена - 1500 баллов, минимальный шаг аукциона – 200 баллов. Время окончания аукциона – 30 марта в 20:00.'|0
'Внимание, внимание!  Наш официальный партнёр – БК «Лига Ставок» – разыгрывает Rolls-Royce Black Badge Cullinan Series II. 29 марта мы узнаем имя счастливчика, который заберёт шикарный автомобиль  Переходи по ссылке и забирай!  t.me/ligastavok/10260'|0
'Хоккеисты «Сочи» после окончания заключительного матча получили время на восстановление, и теперь в полном составе команда соберется в «Большом» на постсезонный сбор 14 апреля. До этого времени игроки будут заниматься самостоятельно согласно полученному плану от клубных специалистов по физподготовке'|0
'Проверьте свою грамотность!  Друзья, открыта регистрация на площадки всемирной просветительской акции «Тотальный диктант». В этом году диктант можно будет написать в 900 населённых пунктах России и 80 городах за её пределами.  Зарегистрироваться на офлайн- или онлайн-площадку можно на официальном сайте проекта totaldict.ru.  Университет «Сириус» станет главной площадкой «Тотального диктанта — 2025». Федеральная территория «Сириус» была выбрана столицей акции в этом году. Именно отсюда текст продиктует автор — писательница, журналистка и радиоведущая Марина Москвина.  Также все жители и гости федеральной территории смогут принять участие в культурно-просветительских мероприятиях и выиграть книги Марины Москвиной в специальном конкурсе  ЖИ-ШИ пиши с буквой «И»! А дальше вы и без нас справитесь. Но сначала – зарегистрируйтесь!'|0
'Друзья, напоминаем, что мы создали специальный сайт, зайдя на который можно приобрести игровое джерси, выпущенное к 10-летию клуба. В этих джерси хоккеисты «Сочи» провели четыре официальных матча чемпионата КХЛ нынешнего сезона. Каждый покупатель получает также сертификат подлинности, подтверждающий уникальность джерси  Коллекционные свитеры уже стремительно заканчиваются. Успей забрать свой любимый!'|0
